	белорусская литература	пьеса	Макаёнак	беларуская мова	беларусь	классическая литература	хх стагоддзе	зомби	ужасы	фантастика	хоррор	рассказы	222334666	детская литература	природа	путешествия	беларуская літаратура	белорусский язык	малады аўтар	альтэрнатыўная гісторыя	дебют	яніна пінчук	пераклад	не открывает	советская	белліт	сабиэл	5k	by	пераклады	беларуская крытыка	хіх ст.	Навука
Андрей Макаёнок (Андрэй Ягоравіч Макаёнак)	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Уладзімір Садоўскі	True	False	False	False	True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Віталь Вольскі (Виталий Фридрихович Вольский)	True	True	False	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Янина Пинчук (Яніна Уладзіміраўна Пінчук)	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False
Борис Саченко (Барыс Iванавiч Сачанка)	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False
Алесь Асташонак	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False
Аксана Данільчык	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False
Ян Скрыган	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Игорь Запрудский (Ігар Запрудскі)	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True
